sexe;preusuel;annais;dpt;nombre
2;ALEYNA;2003;76;3
2;ALEYNA;2003;78;7
2;ALEYNA;2003;91;3
2;ALEYNA;2003;93;7
2;ALEYNA;2003;95;7
2;ALEYNA;2004;01;4
2;ALEYNA;2004;25;6
2;ALEYNA;2004;27;3
2;ALEYNA;2004;38;4
2;ALEYNA;2004;42;13
2;ALEYNA;2004;54;5
2;ALEYNA;2004;57;4
2;ALEYNA;2004;59;3
2;ALEYNA;2004;63;4
2;ALEYNA;2004;67;13
2;ALEYNA;2004;68;6
2;ALEYNA;2004;69;8
2;ALEYNA;2004;77;5
2;ALEYNA;2004;78;3
2;ALEYNA;2004;91;3
2;ALEYNA;2004;93;5
2;ALEYNA;2004;95;9
2;ALEYNA;2005;13;3
2;ALEYNA;2005;34;5
2;ALEYNA;2005;38;3
2;ALEYNA;2005;42;7
2;ALEYNA;2005;44;3
2;ALEYNA;2005;45;5
2;ALEYNA;2005;57;6
2;ALEYNA;2005;59;3
2;ALEYNA;2005;63;3
2;ALEYNA;2005;67;7
2;ALEYNA;2005;68;7
2;ALEYNA;2005;69;5
2;ALEYNA;2005;74;4
2;ALEYNA;2005;75;3
2;ALEYNA;2005;78;5
2;ALEYNA;2005;91;3
2;ALEYNA;2005;93;13
2;ALEYNA;2005;94;5
2;ALEYNA;2005;95;8
2;ALEYNA;2006;19;3
2;ALEYNA;2006;25;3
2;ALEYNA;2006;34;4
2;ALEYNA;2006;38;4
2;ALEYNA;2006;42;6
2;ALEYNA;2006;44;4
2;ALEYNA;2006;45;3
2;ALEYNA;2006;57;5
2;ALEYNA;2006;59;4
2;ALEYNA;2006;60;3
2;ALEYNA;2006;63;5
2;ALEYNA;2006;67;14
2;ALEYNA;2006;68;10
2;ALEYNA;2006;69;10
2;ALEYNA;2006;74;3
2;ALEYNA;2006;77;5
2;ALEYNA;2006;94;3
2;ALEYNA;2006;95;6
2;ALEYNA;2007;25;5
2;ALEYNA;2007;38;5
2;ALEYNA;2007;42;4
2;ALEYNA;2007;44;3
2;ALEYNA;2007;57;4
2;ALEYNA;2007;59;6
2;ALEYNA;2007;67;10
2;ALEYNA;2007;68;5
2;ALEYNA;2007;69;6
2;ALEYNA;2007;73;3
2;ALEYNA;2007;74;4
2;ALEYNA;2007;78;4
2;ALEYNA;2007;91;3
2;ALEYNA;2007;93;8
2;ALEYNA;2007;94;3
2;ALEYNA;2007;95;4
2;ALEYNA;2008;01;4
2;ALEYNA;2008;13;4
2;ALEYNA;2008;33;5
2;ALEYNA;2008;38;5
2;ALEYNA;2008;45;5
2;ALEYNA;2008;57;7
2;ALEYNA;2008;67;7
2;ALEYNA;2008;68;3
2;ALEYNA;2008;69;8
2;ALEYNA;2008;71;3
2;ALEYNA;2008;74;4
2;ALEYNA;2008;76;4
2;ALEYNA;2008;78;3
2;ALEYNA;2008;90;3
2;ALEYNA;2008;91;3
2;ALEYNA;2008;93;5
2;ALEYNA;2008;94;3
2;ALEYNA;2009;25;4
2;ALEYNA;2009;31;3
2;ALEYNA;2009;34;3
2;ALEYNA;2009;38;3
2;ALEYNA;2009;57;3
2;ALEYNA;2009;58;3
2;ALEYNA;2009;59;5
2;ALEYNA;2009;60;3
2;ALEYNA;2009;67;5
2;ALEYNA;2009;68;3
2;ALEYNA;2009;69;6
2;ALEYNA;2009;74;4
2;ALEYNA;2009;75;3
2;ALEYNA;2009;76;4
2;ALEYNA;2009;77;5
2;ALEYNA;2009;78;3
2;ALEYNA;2009;93;4
2;ALEYNA;2009;94;3
2;ALEYNA;2009;95;8
2;ALEYNA;2010;07;3
2;ALEYNA;2010;13;3
2;ALEYNA;2010;33;3
2;ALEYNA;2010;37;4
2;ALEYNA;2010;51;3
2;ALEYNA;2010;54;5
2;ALEYNA;2010;59;5
2;ALEYNA;2010;60;3
2;ALEYNA;2010;67;5
2;ALEYNA;2010;68;9
2;ALEYNA;2010;69;5
2;ALEYNA;2010;75;3
2;ALEYNA;2010;76;4
2;ALEYNA;2010;83;3
2;ALEYNA;2010;91;3
2;ALEYNA;2010;93;6
2;ALEYNA;2010;95;7
2;ALEYNA;2011;26;4
2;ALEYNA;2011;33;3
2;ALEYNA;2011;35;6
2;ALEYNA;2011;38;5
2;ALEYNA;2011;42;3
2;ALEYNA;2011;44;3
2;ALEYNA;2011;49;4
2;ALEYNA;2011;57;3
2;ALEYNA;2011;62;6
2;ALEYNA;2011;67;8
2;ALEYNA;2011;68;7
2;ALEYNA;2011;69;6
2;ALEYNA;2011;75;3
2;ALEYNA;2011;76;3
2;ALEYNA;2011;77;3
2;ALEYNA;2011;94;4
2;ALEYNA;2012;13;4
2;ALEYNA;2012;25;3
2;ALEYNA;2012;42;3
2;ALEYNA;2012;45;3
2;ALEYNA;2012;57;4
2;ALEYNA;2012;59;7
2;ALEYNA;2012;67;10
2;ALEYNA;2012;69;5
2;ALEYNA;2012;71;3
2;ALEYNA;2012;72;3
2;ALEYNA;2012;75;3
2;ALEYNA;2012;92;3
2;ALEYNA;2012;93;5
2;ALEYNA;2012;94;3
2;ALEYNA;2012;95;6
2;ALEYNA;2013;44;3
2;ALEYNA;2013;54;3
2;ALEYNA;2013;57;3
2;ALEYNA;2013;71;3
2;ALEYNA;2013;93;3
2;ALEYNA;2013;94;3
2;ALEYNA;2013;95;3
2;ALEYNA;2014;38;3
2;ALEYNA;2014;57;4
2;ALEYNA;2014;59;4
2;ALEYNA;2014;67;5
2;ALEYNA;2014;69;5
2;ALEYNA;2014;74;4
2;ALEYNA;2014;77;3
2;ALEYNA;2014;91;3
2;ALEYNA;2014;94;3
2;ALEYNA;2014;95;3
2;ALEYNA;2015;25;4
2;ALEYNA;2015;38;3
2;ALEYNA;2015;54;5
2;ALEYNA;2015;62;3
2;ALEYNA;2015;68;3
2;ALEYNA;2015;83;3
2;ALEYNA;2015;93;3
2;ALEYNA;2015;95;4
2;ALEYNA;2016;13;5
2;ALEYNA;2016;34;3
2;ALEYNA;2016;44;3
2;ALEYNA;2016;57;4
2;ALEYNA;2016;59;3
2;ALEYNA;2016;67;6
2;ALEYNA;2016;68;4
2;ALEYNA;2016;69;3
2;ALEYNA;2016;74;3
2;ALEYNA;2016;75;3
2;ALEYNA;2016;93;4
2;ALEYNA;2016;95;4
2;ALEYNA;2017;13;4
2;ALEYNA;2017;38;3
2;ALEYNA;2017;42;4
2;ALEYNA;2017;56;3
2;ALEYNA;2017;59;4
2;ALEYNA;2017;67;5
2;ALEYNA;2017;75;3
2;ALEYNA;2017;78;4
2;ALEYNA;2017;90;3
2;ALEYNA;2017;93;5
2;ALEYNA;2017;95;3
2;ALEYNA;2018;13;4
2;ALEYNA;2018;17;3
2;ALEYNA;2018;33;3
2;ALEYNA;2018;38;6
2;ALEYNA;2018;42;5
2;ALEYNA;2018;44;5
2;ALEYNA;2018;57;4
2;ALEYNA;2018;59;4
2;ALEYNA;2018;69;6
2;ALEYNA;2018;74;3
2;ALEYNA;2018;75;3
2;ALEYNA;2018;90;3
2;ALEYNA;2018;93;4
2;ALEYNA;2018;94;5
2;ALEYNA;2019;33;4
2;ALEYNA;2019;41;3
2;ALEYNA;2019;42;3
2;ALEYNA;2019;57;6
2;ALEYNA;2019;59;5
2;ALEYNA;2019;67;3
2;ALEYNA;2019;68;6
2;ALEYNA;2019;69;7
2;ALEYNA;2019;74;6
2;ALEYNA;2019;78;3
2;ALEYNA;2019;91;4
2;ALEYNA;2019;93;3
2;ALEYNA;2019;95;4
2;ALEYNA;2020;07;3
2;ALEYNA;2020;13;4
2;ALEYNA;2020;34;4
2;ALEYNA;2020;38;4
2;ALEYNA;2020;42;8
2;ALEYNA;2020;59;7
2;ALEYNA;2020;60;3
2;ALEYNA;2020;67;6
2;ALEYNA;2020;68;5
2;ALEYNA;2020;69;5
2;ALEYNA;2020;77;5
2;ALEYNA;2020;78;3
2;ALEYNA;2020;84;3
2;ALEYNA;2020;92;4
2;ALEYNA;2020;93;6
2;ALEYNA;2020;94;5
2;ALEYNA;2020;95;8
2;ALEYNA;XXXX;XX;1039
2;ALEYNA-NUR;XXXX;XX;25
2;ALEZIA;XXXX;XX;45
2;ALÉZIA;XXXX;XX;38
2;ALFIYA;XXXX;XX;26
2;ALFONSINA;XXXX;XX;20
2;ALFRED;1939;971;3
2;ALFRED;1943;972;3
2;ALFRED;XXXX;XX;21
2;ALFREDA;1900;59;19
2;ALFREDA;1900;62;10
2;ALFREDA;1900;80;6
2;ALFREDA;1901;02;5
2;ALFREDA;1901;59;24
2;ALFREDA;1901;62;17
2;ALFREDA;1901;76;4
2;ALFREDA;1901;80;9
2;ALFREDA;1902;02;3
2;ALFREDA;1902;59;25
2;ALFREDA;1902;60;4
2;ALFREDA;1902;62;16
2;ALFREDA;1902;76;6
2;ALFREDA;1902;80;12
2;ALFREDA;1903;02;3
2;ALFREDA;1903;59;21
2;ALFREDA;1903;62;21
2;ALFREDA;1903;76;3
2;ALFREDA;1903;80;8
2;ALFREDA;1904;59;17
2;ALFREDA;1904;62;29
2;ALFREDA;1904;75;3
2;ALFREDA;1904;76;3
2;ALFREDA;1904;80;9
2;ALFREDA;1904;974;3
2;ALFREDA;1905;02;5
2;ALFREDA;1905;59;30
2;ALFREDA;1905;60;4
2;ALFREDA;1905;62;21
2;ALFREDA;1905;76;5
2;ALFREDA;1905;80;11
2;ALFREDA;1905;974;3
2;ALFREDA;1906;02;3
2;ALFREDA;1906;59;31
2;ALFREDA;1906;60;8
2;ALFREDA;1906;62;32
2;ALFREDA;1906;76;3
2;ALFREDA;1906;80;12
2;ALFREDA;1907;02;4
2;ALFREDA;1907;59;44
2;ALFREDA;1907;60;6
2;ALFREDA;1907;62;48
2;ALFREDA;1907;75;4
2;ALFREDA;1907;76;7
2;ALFREDA;1907;80;12
2;ALFREDA;1908;02;6
2;ALFREDA;1908;59;29
2;ALFREDA;1908;60;4
2;ALFREDA;1908;62;35
2;ALFREDA;1908;76;4
2;ALFREDA;1908;80;8
2;ALFREDA;1909;02;8
2;ALFREDA;1909;59;42
2;ALFREDA;1909;62;33
2;ALFREDA;1909;80;6
2;ALFREDA;1910;02;4
2;ALFREDA;1910;59;48
2;ALFREDA;1910;60;7
2;ALFREDA;1910;62;30
2;ALFREDA;1910;76;3
2;ALFREDA;1910;78;3
2;ALFREDA;1910;80;11
2;ALFREDA;1911;02;7
2;ALFREDA;1911;59;44
2;ALFREDA;1911;60;3
2;ALFREDA;1911;62;42
2;ALFREDA;1911;76;5
2;ALFREDA;1911;80;3
2;ALFREDA;1912;02;9
2;ALFREDA;1912;59;41
2;ALFREDA;1912;60;5
2;ALFREDA;1912;62;39
2;ALFREDA;1912;75;8
2;ALFREDA;1912;76;6
2;ALFREDA;1912;78;4
2;ALFREDA;1912;80;11
2;ALFREDA;1913;02;6
2;ALFREDA;1913;08;4
2;ALFREDA;1913;59;64
2;ALFREDA;1913;60;6
2;ALFREDA;1913;62;69
2;ALFREDA;1913;75;4
2;ALFREDA;1913;76;5
2;ALFREDA;1913;80;12
2;ALFREDA;1914;02;5
2;ALFREDA;1914;59;73
2;ALFREDA;1914;60;8
2;ALFREDA;1914;62;45
2;ALFREDA;1914;75;9
2;ALFREDA;1914;76;4
2;ALFREDA;1914;80;11
2;ALFREDA;1915;02;6
2;ALFREDA;1915;33;3
2;ALFREDA;1915;59;54
2;ALFREDA;1915;62;37
2;ALFREDA;1915;75;3
2;ALFREDA;1915;76;3
2;ALFREDA;1915;80;8
2;ALFREDA;1916;02;4
2;ALFREDA;1916;59;12
2;ALFREDA;1916;62;21
2;ALFREDA;1916;75;5
2;ALFREDA;1916;76;3
2;ALFREDA;1916;80;4
2;ALFREDA;1917;45;3
2;ALFREDA;1917;59;20
2;ALFREDA;1917;62;30
2;ALFREDA;1917;75;5
2;ALFREDA;1917;76;5
2;ALFREDA;1917;80;3
2;ALFREDA;1918;02;3
2;ALFREDA;1918;59;20
2;ALFREDA;1918;62;41
2;ALFREDA;1918;75;5
2;ALFREDA;1918;76;5
2;ALFREDA;1918;80;4
2;ALFREDA;1919;59;46
2;ALFREDA;1919;62;40
2;ALFREDA;1919;75;5
2;ALFREDA;1919;80;4
2;ALFREDA;1919;974;3
2;ALFREDA;1920;02;9
2;ALFREDA;1920;59;79
2;ALFREDA;1920;60;6
2;ALFREDA;1920;62;89
2;ALFREDA;1920;75;14
2;ALFREDA;1920;76;3
2;ALFREDA;1920;80;11
2;ALFREDA;1921;02;10
2;ALFREDA;1921;59;109
2;ALFREDA;1921;62;67
2;ALFREDA;1921;75;3
2;ALFREDA;1921;76;5
2;ALFREDA;1921;80;4
2;ALFREDA;1922;02;5
2;ALFREDA;1922;59;86
2;ALFREDA;1922;62;55
2;ALFREDA;1922;75;3
2;ALFREDA;1922;80;3
2;ALFREDA;1923;02;13
2;ALFREDA;1923;59;68
2;ALFREDA;1923;60;3
2;ALFREDA;1923;62;75
2;ALFREDA;1923;78;3
2;ALFREDA;1923;80;3
2;ALFREDA;1924;02;10
2;ALFREDA;1924;08;3
2;ALFREDA;1924;59;64
2;ALFREDA;1924;62;56
2;ALFREDA;1924;80;5
2;ALFREDA;1925;02;4
2;ALFREDA;1925;59;66
2;ALFREDA;1925;62;59
2;ALFREDA;1925;80;3
2;ALFREDA;1926;02;6
2;ALFREDA;1926;59;62
2;ALFREDA;1926;60;5
2;ALFREDA;1926;62;51
2;ALFREDA;1926;75;4
2;ALFREDA;1926;76;3
2;ALFREDA;1926;80;4
2;ALFREDA;1926;81;3
2;ALFREDA;1927;02;8
2;ALFREDA;1927;59;68
2;ALFREDA;1927;62;48
2;ALFREDA;1927;71;3
2;ALFREDA;1927;75;3
2;ALFREDA;1927;81;3
2;ALFREDA;1927;974;3
2;ALFREDA;1928;02;3
2;ALFREDA;1928;14;3
2;ALFREDA;1928;59;54
2;ALFREDA;1928;62;60
2;ALFREDA;1928;75;3
2;ALFREDA;1928;80;3
2;ALFREDA;1929;02;6
2;ALFREDA;1929;54;3
2;ALFREDA;1929;59;55
